perfmode,transtotaltime(s),peakresmem(MBytes),numcpu,totalused(%),nodes,bsim4,coreType,errpreset,gmin(S),maxstep(s),abstolV(V),abstolI(A),reltol,method
APS++,3016.51,482,6,487.6,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,14011.3,476,45,695.7,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,7482.85,477,6,441.2,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
Spectre,4431.41,474,62,4715.9,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS,2162.35,472,64,4989,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
APS++,870.073,227,62,4518.1,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.01,trapgear2
Spectre,10257.7,476,64,4782.9,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS,5699.26,471,64,4901,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
APS++,3256.87,474,63,4516.7,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1.00E-12,2.00E-08,1.00E-06,1.00E-12,0.001,traponly
Spectre,16074.8,476,62,3326.2,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS,7945.27,470,64,4953.2,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
APS++,5350.56,466,64,4906,503,1002,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1.00E-12,1.00E-08,1.00E-06,1.00E-12,0.0001,gear2only
