transtotaltime(s),peakresmem(MBytes),numcpu,totalused(%),nthreads,cpu_util,nodes,bsim4,coreType,errpreset,gmin(S),maxstep(s),abstolV(V),abstolI(A),reltol,method
8245.609999999999,476.0,40,1797.8,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
3991.1,481.0,8,231.1,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
,,,,,,,,,,,,,,,
14041.7,474.0,40,1704.7,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
5471.36,481.0,6,205.5,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
3989.95,475.0,40,1809.4,1,99.4,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
3515.61,472.0,40,1797.2,1,99.4,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1430.31,465.0,20,888.0,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
781.534,225.0,22,353.9,1,99.5,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
8614.470000000001,478.0,31,1395.1,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
4067.4599999999996,481.0,33,2062.3,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
,,,,,,,,,,,,,,,
14504.099999999999,472.0,34,1509.2,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
5561.740000000001,481.0,29,1549.2,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
3919.06,481.0,33,2080.3,1,99.6,503,1002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
4813.7,479.0,8,418.0,1,99.2,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1789.83,463.0,14,423.0,1,98.7,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
900.988,234.0,6,416.6,1,98.8,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
10211.7,472.0,6,358.1,1,99.2,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
5263.72,488.0,6,411.5,1,98.9,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
2936.1000000000004,480.0,6,409.4,1,98.7,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
13710.699999999999,473.0,6,132.5,1,99.6,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
6935.04,481.0,6,387.1,1,99.2,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
4712.5,482.0,6,407.7,1,98.9,503,1002,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
5163.070000000001,474.0,6,483.4,1,98.5,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1978.24,483.0,16,523.2,1,98,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
975.596,220.0,11,527.3,1,97.9,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
9240.349999999999,474.0,6,284.9,1,99.3,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
4467.32,479.0,6,301.0,1,99.3,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
3016.5099999999998,482.0,6,487.6,1,98.2,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
14011.300000000001,476.0,45,695.7,1,99.6,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
7482.85,477.0,6,441.2,1,98.6,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
,,,,,,,,,,,,,,,
4431.41,474.0,62,4715.9,1,99.2,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
2162.35,472.0,64,4989.0,1,98.6,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
870.073,227.0,62,4518.1,1,96.1,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
10257.7,476.0,64,4782.9,1,97.9,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
5699.26,471.0,64,4901.0,1,95.8,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
3256.8700000000003,474.0,63,4516.7,1,97.7,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
16074.8,476.0,62,3326.2,1,98.5,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
7945.2699999999995,470.0,64,4953.2,1,98.9,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
5350.5599999999995,466.0,64,4906.0,1,98.6,503,1002,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
3398.5699999999997,476.0,8,289.5,1,99.6,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
2132.56,463.0,59,4651.6,1,98.7,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1060.92,217.0,56,4459.4,1,98.2,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
10154.400000000001,460.0,61,4537.6,1,97.9,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
5871.72,477.0,62,4442.2,1,97.2,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
3185.75,464.0,56,4337.3,1,98.2,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
14427.5,479.0,52,1133.7,1,99.5,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
8455.84,465.0,63,4507.2,1,97.8,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
5550.07,468.0,63,4471.6,1,98.5,503,1002,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
5084.71,460.0,60,4924.5,1,98,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1782.7,469.0,59,4530.5,1,96.4,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1022.7599999999999,221.0,57,4362.9,1,98.4,503,1002,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
10142.699999999999,473.0,63,4359.8,1,98.7,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
5727.33,481.0,63,4448.8,1,97.1,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
2812.2799999999997,473.0,62,4506.2,1,91.1,503,1002,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
19490.600000000002,477.0,64,4684.3,1,95.6,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
7774.62,481.0,62,4422.2,1,97.7,503,1002,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
4476.57,482.0,62,4449.2,1,91.3,503,1002,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
725.179,622.0,60,4304.0,1,93.6,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
345.039,619.0,61,5441.6,1,93.1,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
202.961,251.0,60,5390.4,1,94.1,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1999.3799999999999,638.0,42,1503.7,1,92.4,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
1078.84,625.0,61,5569.4,1,94.4,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
560.869,625.0,59,4309.3,1,93.1,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
2899.36,634.0,53,4351.4,1,93,103,202,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1254.2199999999998,539.0,44,4103.2,1,89.8,103,202,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
905.921,628.0,43,4103.2,1,92.2,103,202,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
670.004,625.0,6,206.8,1,99.6,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
