transtotaltime(s),peakresmem(MBytes),numcpu,totalused(%),nthreads,cpu_util,nodes,bsim4,coreType,errpreset,gmin(S),maxstep(s),abstolV(V),abstolI(A),reltol,method
744.952,622.0,21,1496.2,1,99.5,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
353.966,633.0,18,1674.8,1,98.8,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
207.624,249.0,18,1622.5,1,99.2,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
2040.19,532.0,42,4021.5,1,99.3,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
983.409,537.0,28,1595.1,1,99.4,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
657.134,541.0,18,1658.4,1,99.1,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
3001.52,626.0,25,1462.8,1,99.5,103,202,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1568.25,625.0,42,4043.2,1,99.1,103,202,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1108.58,537.0,42,4070.3,1,99,103,202,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
757.431,539.0,18,1389.3,1,99.5,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
350.146,632.0,18,1634.8,1,98.7,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
206.23,244.0,18,1661.3,1,98.9,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
2059.88,627.0,42,3996.2,1,99.3,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
1082.1000000000001,539.0,18,1632.0,1,98.8,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
652.94,543.0,18,1597.2,1,99.1,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
3398.31,638.0,18,1597.2,1,99,103,202,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1554.92,625.0,42,4053.5,1,99.3,103,202,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1103.54,538.0,42,4019.0,1,99.2,103,202,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
877.309,628.0,42,4070.6,1,99.2,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
352.42,628.0,18,1693.3,1,98.9,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
206.778,244.0,18,1669.6,1,98.2,103,202,AMD EPYC 7601 32-Core Processor,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1999.6499999999999,622.0,50,3855.3,1,99.4,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
1096.36,626.0,18,1609.5,1,99.1,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
679.262,623.0,18,1640.3,1,98.8,103,202,AMD EPYC 7601 32-Core Processor,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
3518.4,632.0,42,4017.2,1,99.3,103,202,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1529.53,539.0,42,4007.2,1,99.3,103,202,AMD EPYC 7601 32-Core Processor,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1120.44,627.0,42,4050.6,1,99.1,103,202,AMD EPYC 7601 32-Core Processor,conservative_sigglobal,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
696.069,624.0,34,3065.2,1,99.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
298.576,534.0,6,264.4,1,99.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
151.242,233.0,6,447.6,1,99.4,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,liberal,1e-12,2e-08,1e-06,1e-12,0.01,trapgear2
1659.67,536.0,34,3019.2,1,99.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
995.334,622.0,34,1492.0,1,99.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
522.56,621.0,34,1449.3,1,99.4,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,moderate,1e-12,2e-08,1e-06,1e-12,0.001,traponly
2914.39,637.0,34,2967.1,1,99.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
1388.25,641.0,34,2128.3,1,99.5,103,202,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,conservative,1e-12,1e-08,1e-06,1e-12,0.0001,gear2only
